thread_id,thread_title,main_path_text_chars,num_user_msgs_main_path,num_assistant_msgs_main_path
687fc0d8-9784-832c-85fa-cdbe80ada3f0,Book identity ,7061697,259,387
6898a9e5-ec50-8324-b103-f5d9a4503fca,Identity book series,6742132,333,473
69241ffd-12f0-832e-8d62-13057bac90b8,Build GA Biobank Demo,6038274,318,654
68ecaed3-1d24-8330-8174-b1c567e6191d,Expansion strategy draft,5016074,173,271
69247bd4-de98-8328-af1e-5b88c151e329,Pillar 2 summary,4884313,261,558
68f201a5-7f10-8331-9438-409d450fdabd,Book revision plan,4242164,200,316
68ecae08-6f84-832f-a289-d9f497e27fc5,PC expansion strategy,3833227,132,238
6904c45f-d168-832b-9d02-21ec455d41a0,Business strategy outline,3684883,366,472
68b46172-1508-832a-b737-e6459f52bd94,Banter Sigma Nirvana Sep,3225163,786,1287
68b17bad-4408-8322-958b-2a85e0f0f825,Sigma Belonging overview,2944547,211,299
6931caba-75d8-832f-89ef-e59ee4f4d972,Pillars 1-4 manus,2624276,260,514
6874051f-23c8-8008-9696-d16e250deaf7,Writing the book,2304364,220,278
68ecb1f0-37c8-8333-bc8e-58200bc3d810,Expansion strategy draft,2286374,148,195
69208845-f998-832d-92d0-2514835ae2c5,Site expansion plan,2240596,20,27
68ecacdb-8430-832a-aaf4-48442747c826,UM-expansion,1945782,39,52
68daab91-ec94-8320-bddb-f8047be97d60,Digital Monk Guide,1863616,121,219
685eda38-6274-8008-a11f-520e28e07f3a,Publication Strategy Summary,1786528,131,193
6912dc5a-cc64-8328-98e4-e6c32f6fd1da,Prometheus Selene demo setup,1696319,177,217
68c6aac0-0814-832c-8bff-2698c8ff9075,Fitness Chat 2.0,1529152,459,586
682f43c6-7f48-8008-b895-50bce9018e8b,UMNew Project Overview,1526763,182,297
690f693f-c978-8328-a508-0c544d97d08e,Towards a proofreading version,1362148,44,63
6914ba86-af60-8333-871b-a7e5289578bc,Manuscript review and critique,1305389,42,144
68886fef-53c4-8323-923b-688c95308049,Banter Sigma-Nirvana Aug 25,1139666,347,523
6932e73f-3fd4-8333-a020-96fc8460bba8,Patent GNA,1063771,49,64
68b559c0-a794-832d-9494-bc8167393bd8,Existentialism chat v2.0,1050781,271,466
685a573c-5d50-8008-8805-00fae1ebedd1,Book Strategy Chat Save,1015321,140,222
6935d4e9-ea34-8333-af9d-c68c3ba8fe14,EEE-2B-2C,970239,79,147
681f0e05-2c28-8008-8723-0c83c98fddb1,Chat & Banter,960798,470,756
69247b8f-066c-8329-9451-c021cf4f667d,Pillar 1 interpretation,959005,77,152
693d9e77-4d38-8330-adcb-a62be8e60d22,TBC....Book dev,946584,63,76
