month,macro_domain,user_share,assistant_share
2023-02,0,0.0,0.16666666666666666
2023-02,1,0.0,0.0
2023-02,2,0.0,0.3333333333333333
2023-02,3,0.0,0.0
2023-02,4,0.16666666666666666,0.16666666666666666
2023-02,5,0.8333333333333334,0.3333333333333333
2023-02,6,0.0,0.0
2023-02,7,0.0,0.0
2025-02,0,0.0,0.0
2025-02,1,0.0,0.0
2025-02,2,0.5714285714285714,0.2222222222222222
2025-02,3,0.0,0.0
2025-02,4,0.0,0.4444444444444444
2025-02,5,0.42857142857142855,0.2222222222222222
2025-02,6,0.0,0.1111111111111111
2025-02,7,0.0,0.0
2025-05,0,0.004608294930875576,0.002779708130646282
2025-05,1,0.0009216589861751152,0.019457956914523976
2025-05,2,0.11612903225806452,0.16886726893676163
2025-05,3,0.07741935483870968,0.08617095205003475
2025-05,4,0.1400921658986175,0.47810979847116053
2025-05,5,0.6516129032258065,0.22237665045170257
2025-05,6,0.007373271889400922,0.008339124391938846
2025-05,7,0.0018433179723502304,0.01389854065323141
2025-06,0,0.0012919896640826874,0.0
2025-06,1,0.0012919896640826874,0.0257201646090535
2025-06,2,0.13049095607235142,0.19855967078189302
2025-06,3,0.26744186046511625,0.24588477366255143
2025-06,4,0.07235142118863049,0.29835390946502055
2025-06,5,0.520671834625323,0.21193415637860083
2025-06,6,0.00516795865633075,0.015432098765432098
2025-06,7,0.0012919896640826874,0.00411522633744856
2025-07,0,0.0008968609865470852,0.0
2025-07,1,0.0008968609865470852,0.006006006006006006
2025-07,2,0.10134529147982063,0.13513513513513514
2025-07,3,0.17309417040358743,0.18693693693693694
2025-07,4,0.10852017937219731,0.3521021021021021
2025-07,5,0.5910313901345291,0.27702702702702703
2025-07,6,0.02062780269058296,0.03753753753753754
2025-07,7,0.003587443946188341,0.005255255255255256
2025-08,0,0.001098901098901099,0.0009191176470588235
2025-08,1,0.0,0.029411764705882353
2025-08,2,0.15494505494505495,0.18198529411764705
2025-08,3,0.1021978021978022,0.09283088235294118
2025-08,4,0.15714285714285714,0.41544117647058826
2025-08,5,0.5439560439560439,0.16911764705882354
2025-08,6,0.038461538461538464,0.10845588235294118
2025-08,7,0.002197802197802198,0.001838235294117647
2025-09,0,0.018664047151277015,0.014694508894044857
2025-09,1,0.0,0.08197989172467131
2025-09,2,0.3182711198428291,0.33410672853828305
2025-09,3,0.0009823182711198428,0.0015467904098994587
2025-09,4,0.0893909626719057,0.2877030162412993
2025-09,5,0.5314341846758349,0.16782675947409126
2025-09,6,0.0412573673870334,0.1105955143078113
2025-09,7,0.0,0.0015467904098994587
2025-10,0,0.008384146341463415,0.0006618133686300463
2025-10,1,0.001524390243902439,0.011250827266710787
2025-10,2,0.10975609756097561,0.1628060886829914
2025-10,3,0.0,0.0
2025-10,4,0.19359756097560976,0.5784248841826605
2025-10,5,0.6425304878048781,0.14824619457313037
2025-10,6,0.042682926829268296,0.09331568497683654
2025-10,7,0.001524390243902439,0.005294506949040371
2025-11,0,0.004315659679408138,0.002728512960436562
2025-11,1,0.016646115906288533,0.10231923601637108
2025-11,2,0.0690505548705302,0.07503410641200546
2025-11,3,0.0,0.0
2025-11,4,0.10542540073982737,0.3728967712596635
2025-11,5,0.6775585696670777,0.22510231923601637
2025-11,6,0.014180024660912454,0.03728967712596635
2025-11,7,0.11282367447595561,0.1846293769895407
2025-12,0,0.0018034265103697023,0.0029940119760479044
2025-12,1,0.29125338142470697,0.40778443113772456
2025-12,2,0.059513074842200184,0.0592814371257485
2025-12,3,0.0,0.0
2025-12,4,0.02254283137962128,0.0562874251497006
2025-12,5,0.4833183047790803,0.11317365269461079
2025-12,6,0.004508566275924256,0.018562874251497007
2025-12,7,0.13706041478809738,0.34191616766467064
