month,user_msgs,assistant_msgs,macro_entropy_user,macro_js_divergence
2023-02,6,6,0.45056120886630463,
2025-02,7,9,0.6829081047004717,
2025-05,1085,1439,1.0815862635847306,0.3382200670708657
2025-06,774,972,1.2012666164875827,0.28854481441068
2025-07,1115,1332,1.2002571819764207,0.2588287935053964
2025-08,910,1088,1.2902871835565088,0.3187142098987416
2025-09,1018,1293,1.1288217112187604,0.3383942676333753
2025-10,1312,1511,1.039088231728572,0.38140035824012525
2025-11,1622,2199,1.083692031840315,0.3512153778874032
2025-12,1109,1670,1.2722328850760285,0.30893079439266524
