month,macro_entropy_user,macro_js_divergence,state
2023-02,0.4505612088663046,,Transitional
2025-02,0.6829081047004717,,Transitional
2025-05,1.0815862635847306,0.3382200670708657,Transitional
2025-06,1.2012666164875827,0.28854481441068,Transitional
2025-07,1.2002571819764207,0.2588287935053964,Transitional
2025-08,1.2902871835565088,0.3187142098987416,Transitional
2025-09,1.1288217112187604,0.3383942676333753,Transitional
2025-10,1.039088231728572,0.3814003582401252,Transitional
2025-11,1.083692031840315,0.3512153778874032,Transitional
2025-12,1.2722328850760285,0.3089307943926652,Transitional
