month,user_messages,system_words,uncertainty_words,relational_words,system_words_per_1k_msgs,uncertainty_words_per_1k_msgs,relational_words_per_1k_msgs
2023-02,6,0,0,0,0.0,0.0,0.0
2025-02,7,0,0,1,0.0,0.0,142.85714285714286
2025-05,1085,39,177,1593,35.944700460829495,163.1336405529954,1468.2027649769584
2025-06,774,24,115,639,31.007751937984494,148.57881136950903,825.5813953488372
2025-07,1115,63,224,1413,56.502242152466366,200.89686098654707,1267.2645739910313
2025-08,910,101,197,1260,110.98901098901098,216.4835164835165,1384.6153846153845
2025-09,1018,104,450,2101,102.16110019646365,442.04322200392926,2063.85068762279
2025-10,1312,225,479,2961,171.4939024390244,365.0914634146342,2256.859756097561
2025-11,1622,244,418,3171,150.4315659679408,257.70653514180026,1954.9938347718864
2025-12,1109,140,240,2399,126.23985572587918,216.4111812443643,2163.210099188458
